subcorridor,direction,stopOrderCor,stopId,stopName,depTime,tripCount,m_dwellTime,m_travelTime,m_runTime,m_excessTravel,sd_dwellTime,sd_travelTime,sd_runTime,sd_excessTravel,p10_travelTime,p90_travelTime,p95_travelTime,p10_runTime,p90_runTime,p95_runTime,buf_indx_runTime,buf_time_runTime
19th to 15th,direction-0,1,31348,JFK Blvd,2021-01-01T15:00:00Z,6,47.62416666666667,1.9563333333333333,49.5805,0.27443333333333325,26.64739771472379,0.6615057570926096,27.135156750975295,0.3085585725055562,1.292,2.5355,2.55025,22.782999999999998,73.71549999999999,76.97125,0.5524500559695847,76.97125s (~1.28 minutes)
19th to 15th,direction-0,1,31348,JFK Blvd,2021-01-01T15:10:00Z,19,39.22021052631579,2.6457894736842107,41.866,0.7906210526315789,17.683245069144935,0.6304352622458875,17.786550702395584,0.5351567652763558,2.0711999999999997,3.398,3.398,23.7792,51.1462,55.11919999999992,0.31656236564276313,55.1191999999999s
19th to 15th,direction-0,1,31348,JFK Blvd,2021-01-01T15:20:00Z,18,38.03088888888889,2.723,40.75388888888889,0.8837055555555554,15.088302371622738,0.7880677785123636,15.56606834597722,0.6341423605916356,2.0716,3.707,3.714,30.1693,52.42920000000001,57.890849999999965,0.4204987935711648,57.89085s
19th to 15th,direction-0,1,31348,JFK Blvd,2021-01-01T15:30:00Z,21,35.56019047619048,11.958809523809524,47.519,10.053078571428571,18.508673338786462,4.428625832231118,20.072827155136867,4.432965662611527,7.848,17.474,17.54,20.840999999999998,59.01,59.726,0.2568867189966119,59.726s
19th to 15th,direction-0,1,31348,JFK Blvd,2021-01-01T15:40:00Z,19,43.424473684210525,8.985526315789473,52.410000000000004,7.0799473684210525,10.410331734325927,4.243034990407758,9.523650210572276,4.26761254959549,4.3596,14.742999999999999,15.077499999999999,45.8614,56.830600000000004,59.74209999999994,0.139898874260636,59.7420999999999s
19th to 15th,direction-0,1,31348,JFK Blvd,2021-01-01T15:50:00Z,21,40.52204761904762,3.0234285714285716,43.545476190476194,1.1725642857142855,18.112403632528153,0.8136249486974063,18.6012494355058,0.6551448681671209,2.532,4.159,4.159,3.19,60.942,63.426,0.4565462488586097,63.426s (~1.06 minutes)
19th to 15th,direction-0,1,31348,JFK Blvd,2021-01-01T16:00:00Z,12,41.699333333333335,2.7447500000000002,44.44408333333333,0.9607208333333332,14.817050094912668,0.787967941779821,15.484630687810373,0.5682794696827247,1.9655,3.451,3.451,37.2654,57.6638,59.1511,0.33091056364832966,59.1511s
19th to 15th,direction-0,1,31348,JFK Blvd,2021-01-01T16:10:00Z,18,45.664611111111114,2.7436666666666665,48.408277777777776,0.8437027777777776,20.243531417508013,0.8637462181750868,20.457067177543703,0.8661945087009006,2.0088,3.613,3.883149999999997,28.1219,63.65520000000001,81.48479999999995,0.6832823587334113,81.4848s (~1.36 minutes)
19th to 15th,direction-0,1,31348,JFK Blvd,2021-01-01T16:20:00Z,24,38.67845833333333,3.9566666666666666,42.635125,2.05201875,22.794908779353737,2.4409668730571332,22.1516371822324,2.438456085260066,2.3065,4.9585,5.785999999999998,28.598399999999998,52.4162,62.63449999999997,0.4690821241875089,62.6345s (~1.04 minutes)
19th to 15th,direction-0,1,31348,JFK Blvd,2021-01-01T16:30:00Z,23,39.89982608695652,3.1764347826086956,43.07626086956522,1.3363391304347825,23.31802089031371,1.3462201233651798,23.290301749123334,1.2337613428562602,2.0674,4.863600000000001,5.038,10.5676,60.8732,65.27379999999998,0.5153079371872327,65.2738s (~1.09 minutes)
19th to 15th,direction-0,1,31348,JFK Blvd,2021-01-01T16:40:00Z,24,43.489625,8.065833333333334,51.555458333333334,6.15613125,18.578041366817278,5.516564775975737,18.590660240349226,5.48953010456016,2.4276,15.0866,15.3843,29.076500000000003,76.7331,80.7086,0.5654714866111009,80.7086s (~1.35 minutes)
19th to 15th,direction-0,1,31348,JFK Blvd,2021-01-01T16:50:00Z,25,41.43188,8.10928,49.54116,6.203318,25.534218743873875,10.796275887700043,26.89825986422418,10.791817711551193,3.8044000000000002,10.1194,10.625799999999998,10.8662,68.6474,94.20339999999992,0.9015178489966711,94.2033999999999s (~1.57 minutes)
19th to 15th,direction-0,1,31348,JFK Blvd,2021-01-01T17:00:00Z,9,49.705555555555556,2.8054444444444444,52.511,0.9285944444444443,12.750153108013167,0.6643015337764755,13.325163075925188,0.6643015337764755,2.1856,3.866,3.866,39.089999999999996,68.06519999999999,70.4096,0.3408542971948733,70.4096s (~1.17 minutes)
19th to 15th,direction-0,1,31348,JFK Blvd,2021-01-01T17:10:00Z,20,36.45045,3.03925,39.4897,1.1351075,18.284466569583333,0.6979214157995003,18.114215691433884,0.6838636123786134,2.217,3.888000000000001,4.10465,10.2746,54.04520000000001,56.402600000000014,0.4282863632795391,56.4026s
19th to 15th,direction-0,1,31348,JFK Blvd,2021-01-01T17:20:00Z,12,34.38633333333333,4.122333333333334,38.50866666666666,2.245483333333333,15.234795558095607,1.7618896020173822,15.820436411250615,1.7618896020173822,2.1702999999999997,6.51,6.51,17.2087,50.561099999999996,51.775099999999995,0.34450513304364383,51.7751s
19th to 15th,direction-0,1,31348,JFK Blvd,2021-01-01T17:30:00Z,20,40.80885,3.4564500000000002,44.2653,1.549275,19.7626359931404,1.1135744474439058,19.83004397930203,1.1224003041531831,2.3631,4.4777000000000005,5.055550000000001,12.083400000000003,59.90370000000001,68.08865,0.5381947033003277,68.08865s (~1.13 minutes)
19th to 15th,direction-0,1,31348,JFK Blvd,2021-01-01T17:50:00Z,19,44.43415789473684,5.968473684210526,50.40263157894737,4.059702631578947,25.25611364988498,3.523645387764417,25.52108427296608,3.5508556364970247,2.7168,10.287399999999998,12.936,28.1666,69.4452,79.65259999999986,0.5803262152143239,79.6525999999999s (~1.33 minutes)
19th to 15th,direction-0,2,10272,18th St,2021-01-01T15:00:00Z,6,22.370666666666665,80.82233333333333,103.193,53.679933333333324,17.22107097327767,46.319551313313326,57.59665562165914,46.31955131331332,52.8955,129.29,150.47099999999998,63.357,161.0005,187.08225,0.8129354704291957,187.08225s (~3.12 minutes)
19th to 15th,direction-0,2,10272,18th St,2021-01-01T15:10:00Z,19,27.14184210526316,80.28273684210527,107.42457894736842,53.328563157894735,18.88510951418003,32.900777342795934,39.20346200318395,32.86949340214368,50.232600000000005,115.9512,127.56769999999992,68.13419999999999,161.78859999999997,183.44719999999998,0.7076836772139277,183.4472s (~3.06 minutes)
19th to 15th,direction-0,2,10272,18th St,2021-01-01T15:20:00Z,18,31.109833333333334,88.14905555555556,119.25888888888889,61.26210555555556,17.632216564306038,37.33448482612324,48.10692018568258,37.289847825387476,50.058800000000005,129.1302,145.04409999999996,68.392,179.5873,189.91784999999993,0.5924838120615276,189.91785s (~3.17 minutes)
19th to 15th,direction-0,2,10272,18th St,2021-01-01T15:30:00Z,21,22.710190476190476,94.38919047619048,117.09938095238095,67.49007619047619,15.974271963438731,46.922574525082325,45.962551252597144,46.94490035442513,52.892,143.963,146.156,70.479,152.24099999999999,184.233,0.5733046451792881,184.233s (~3.07 minutes)
19th to 15th,direction-0,2,10272,18th St,2021-01-01T15:40:00Z,19,17.725736842105263,71.62547368421053,89.3512105263158,44.72507894736842,7.714575107779251,24.531015989668674,27.196830431297908,24.53097869036843,50.729200000000006,106.38099999999999,112.38569999999997,62.3994,125.5214,131.8421,0.4755491192944693,131.8421s (~2.2 minutes)
19th to 15th,direction-0,2,10272,18th St,2021-01-01T15:50:00Z,21,19.885952380952382,88.07361904761905,107.95957142857142,61.198833333333326,14.785126071414442,46.04560278731965,53.81094366443635,46.01013186525695,49.563,122.033,131.076,60.047,143.861,176.581,0.6356215355748249,176.581s (~2.94 minutes)
19th to 15th,direction-0,2,10272,18th St,2021-01-01T16:00:00Z,12,15.39475,76.288,91.68275,49.145599999999995,11.567071964888482,48.913228786941026,46.10938433201286,48.913228786941026,50.5035,103.978,155.57249999999993,55.092200000000005,117.96249999999999,163.1502999999999,0.7795092315620976,163.1503s (~2.72 minutes)
19th to 15th,direction-0,2,10272,18th St,2021-01-01T16:10:00Z,18,15.760388888888889,79.67683333333333,95.43722222222222,52.73311666666667,8.055778183017884,30.975263113823395,30.472081443136176,31.118121196371398,50.749500000000005,127.56210000000002,128.80485,63.144200000000005,137.9561,141.06295,0.4780705757711585,141.06295s (~2.35 minutes)
19th to 15th,direction-0,2,10272,18th St,2021-01-01T16:20:00Z,24,27.756,114.33604166666667,142.09204166666666,87.42780416666666,32.20498532971187,34.94940270619696,46.32003434094165,34.98266734896358,70.3014,162.13349999999997,177.17689999999996,84.4907,200.4896,202.56319999999997,0.42557737663586,202.5632s (~3.38 minutes)
19th to 15th,direction-0,2,10272,18th St,2021-01-01T16:30:00Z,23,17.027347826086956,112.9818695652174,130.00921739130436,86.0616,26.01152915991588,46.09287609253965,62.980588008569264,45.927077118316795,64.30420000000001,182.84640000000002,194.89489999999998,70.84800000000001,200.763,215.03869999999998,0.6540265706913085,215.0387s (~3.58 minutes)
19th to 15th,direction-0,2,10272,18th St,2021-01-01T16:40:00Z,24,17.459125,95.22495833333333,112.68408333333333,68.35929583333333,11.169152251947052,34.11543190721143,41.75447840486478,34.09485934814781,52.86,139.31369999999998,150.42004999999997,65.8264,158.02929999999998,183.77714999999995,0.6309060211845945,183.77715s (~3.06 minutes)
19th to 15th,direction-0,2,10272,18th St,2021-01-01T16:50:00Z,25,12.58648,103.25556,115.84204,76.358392,12.433541209566966,37.82043175441021,38.32990618246628,37.74897160654314,53.9208,153.9232,163.28439999999995,59.11,166.144,178.7308,0.5428837406523572,178.7308s (~2.98 minutes)
19th to 15th,direction-0,2,10272,18th St,2021-01-01T17:00:00Z,9,21.779666666666667,70.15866666666666,91.93833333333333,43.01626666666667,22.90997180268889,14.711054984262686,27.09070950067569,14.711054984262685,53.75359999999999,89.7676,91.78880000000001,60.035000000000004,125.16839999999999,130.9552,0.42438083497996837,130.9552s (~2.18 minutes)
19th to 15th,direction-0,2,10272,18th St,2021-01-01T17:10:00Z,20,23.4223,86.6415,110.0638,59.729004999999994,16.749995261900352,31.83881358458076,34.69321377384769,31.790346794361383,46.447300000000006,120.21920000000001,128.1106,62.045,146.97460000000004,162.06644999999997,0.472477326786827,162.06645s (~2.7 minutes)
19th to 15th,direction-0,2,10272,18th St,2021-01-01T17:20:00Z,12,19.6435,72.45175,92.09525,45.309349999999995,20.781739854103563,29.276425573938557,38.116100022586494,29.276425573938557,46.1472,112.45870000000001,114.04114999999999,60.1625,129.6477,149.84014999999997,0.6270127938194421,149.84015s (~2.5 minutes)
19th to 15th,direction-0,2,10272,18th St,2021-01-01T17:30:00Z,20,11.3095,74.12995000000001,85.43945000000001,47.243,7.433908297722495,31.14171866851519,32.30391584781374,31.07222777023339,44.25150000000001,106.28340000000003,124.32180000000002,56.6828,122.88520000000003,143.87385000000003,0.6839276235977645,143.87385s (~2.4 minutes)
19th to 15th,direction-0,2,10272,18th St,2021-01-01T17:50:00Z,19,15.103263157894737,54.72073684210526,69.824,27.847231578947365,10.671086271072799,14.41947986749601,16.906900626010014,14.35761147483385,39.982,74.3004,78.68729999999996,53.5482,95.6048,100.1047,0.433671803391384,100.1047s (~1.67 minutes)
19th to 15th,direction-0,3,18451,16th St,2021-01-01T15:00:00Z,6,44.074333333333335,43.8445,87.91883333333334,15.661750000000001,15.917605066927207,6.488318326037957,20.109819416560324,6.488318326037957,37.313500000000005,50.823499999999996,51.38125,62.789500000000004,103.33099999999999,103.64099999999999,0.1788259246691549,103.641s (~1.73 minutes)
19th to 15th,direction-0,3,18451,16th St,2021-01-01T15:10:00Z,19,36.951157894736845,44.808578947368424,81.75973684210527,15.983321052631581,21.433123444444472,12.82648011089121,23.05388615792262,12.975897022774314,34.648399999999995,58.67939999999999,75.91739999999999,51.184799999999996,105.1476,110.4689,0.351140601312575,110.4689s (~1.84 minutes)
19th to 15th,direction-0,3,18451,16th St,2021-01-01T15:20:00Z,18,41.82655555555556,53.37961111111111,95.20616666666666,24.324886111111113,25.937198640567594,20.362255515128933,33.96888358699854,20.429097902601097,35.09910000000001,83.9673,88.55324999999999,54.2569,141.50650000000002,145.3536,0.526724634433694,145.3536s (~2.42 minutes)
19th to 15th,direction-0,3,18451,16th St,2021-01-01T15:30:00Z,21,42.79219047619048,53.400666666666666,96.19285714285715,24.387464285714287,14.419200468885393,18.23941968466468,15.856283052108127,18.447655807528385,33.158,79.87,80.067,82.976,119.707,132.147,0.3737714413009577,132.147s (~2.2 minutes)
19th to 15th,direction-0,3,18451,16th St,2021-01-01T15:40:00Z,19,34.71094736842105,64.65563157894736,99.36657894736842,35.6468,17.12936437645952,36.90114569316021,38.14969725715874,36.64624540914799,32.7772,83.21159999999999,103.63619999999979,60.48799999999999,135.2562,146.63919999999982,0.4757396455972417,146.6392s (~2.44 minutes)
19th to 15th,direction-0,3,18451,16th St,2021-01-01T15:50:00Z,21,34.488238095238096,57.69861904761905,92.18685714285714,28.60237142857143,22.089109375220996,20.279043923410665,28.502067860570598,20.36110153063662,40.799,80.085,84.958,49.276,130.998,136.635,0.48215270847409303,136.635s (~2.28 minutes)
19th to 15th,direction-0,3,18451,16th St,2021-01-01T16:00:00Z,12,41.319916666666664,44.85433333333334,86.17425,16.671583333333334,26.364887181312447,10.683582394865438,31.716185767823514,10.683582394865438,35.0985,51.305899999999994,61.17399999999998,51.0538,109.86639999999998,133.20664999999997,0.5457825278432938,133.20665s (~2.22 minutes)
19th to 15th,direction-0,3,18451,16th St,2021-01-01T16:10:00Z,18,36.88616666666667,45.74111111111111,82.62727777777778,16.880158333333334,21.763555024938583,19.017732699923815,31.71015178661347,19.03709281077996,31.5886,75.2681,80.56799999999997,44.1953,125.92269999999999,132.95805,0.6091302240113063,132.95805s (~2.22 minutes)
19th to 15th,direction-0,3,18451,16th St,2021-01-01T16:20:00Z,24,34.48725,65.56208333333333,100.04933333333334,36.58002291666667,24.112500330651155,28.178456283382395,32.09210268920522,28.202785659815127,38.469,104.1477,107.28020000000001,64.381,140.5417,150.9993,0.5092484374375308,150.9993s (~2.52 minutes)
19th to 15th,direction-0,3,18451,16th St,2021-01-01T16:30:00Z,23,30.494478260869567,68.91891304347826,99.41339130434783,39.977923913043476,17.33560847417709,38.6267701835175,44.33293286725624,38.870685065050424,38.9238,131.2682,153.24989999999997,58.5964,165.64540000000002,195.15579999999997,0.9630735602062181,195.1558s (~3.25 minutes)
19th to 15th,direction-0,3,18451,16th St,2021-01-01T16:40:00Z,24,33.407291666666666,52.232375,85.63966666666667,23.10498541666667,20.162825512570464,17.835263727922985,27.435067237366862,17.928690647955982,37.6307,84.86679999999998,88.07755,49.6593,119.57719999999999,138.21164999999996,0.613874217165721,138.21165s (~2.3 minutes)
19th to 15th,direction-0,3,18451,16th St,2021-01-01T16:50:00Z,25,25.88568,44.26792,70.1536,15.248074,18.251647301727772,11.726427780587459,23.316822196288527,11.693683351058239,33.3988,53.5912,63.01479999999997,44.17100000000001,96.6724,100.7088,0.43554714227067465,100.7088s (~1.68 minutes)
19th to 15th,direction-0,3,18451,16th St,2021-01-01T17:00:00Z,9,35.53022222222222,46.196111111111115,81.72633333333333,18.013361111111113,20.519609704973544,14.547987656755526,32.366446603697476,14.547987656755526,34.92100000000001,63.94419999999999,70.51859999999999,47.966,117.20719999999997,125.32759999999999,0.533503277197476,125.3276s (~2.09 minutes)
19th to 15th,direction-0,3,18451,16th St,2021-01-01T17:10:00Z,20,32.36415,46.4116,78.77575,17.4440725,20.09407783474891,16.381094142494366,23.13133104658792,16.51818970996324,33.8333,65.00280000000004,84.8956,47.59,104.72800000000001,105.06145,0.3336775594012116,105.06145s (~1.75 minutes)
19th to 15th,direction-0,3,18451,16th St,2021-01-01T17:20:00Z,12,40.87325,42.30741666666667,83.18066666666667,14.160895833333335,20.876596840938678,15.399856867447788,27.25009368902438,15.362958258738901,36.0668,42.994200000000006,63.89079999999997,50.33409999999999,105.52130000000001,119.96054999999998,0.44216865297224495,119.96055s (~2 minutes)
19th to 15th,direction-0,3,18451,16th St,2021-01-01T17:30:00Z,20,16.2693,41.8096,58.0789,12.754875,14.356669347288333,11.302049317665682,17.96141543156505,11.514597058590914,34.2685,55.97070000000001,60.17395000000001,43.435700000000004,87.71490000000003,101.12634999999999,0.7411891409789096,101.12635s (~1.69 minutes)
19th to 15th,direction-0,3,18451,16th St,2021-01-01T17:50:00Z,19,28.957894736842107,38.569105263157894,67.527,9.468486842105262,18.88622348843121,6.712858208068856,23.105789380345545,6.636207008019676,32.629799999999996,46.459399999999995,51.747599999999984,41.0182,93.00819999999999,101.84439999999998,0.5082026448679784,101.8444s (~1.7 minutes)
19th to 15th,direction-0,4,10266,15th St,2021-01-01T15:00:00Z,6,65.4005,4.801833333333334,70.20233333333333,1.5100333333333336,12.869859140643305,0.9701044101882368,13.629955622329323,0.9701044101882368,3.5535,5.426,5.426,56.5745,82.52600000000001,86.9775,0.238954545670372,86.9775s (~1.45 minutes)
19th to 15th,direction-0,4,10266,15th St,2021-01-01T15:10:00Z,19,62.73636842105263,10.97836842105263,73.71473684210527,7.438307894736842,27.627045177608373,5.274563417536473,25.813956412164387,5.00505075363497,6.962,16.837,17.513099999999984,42.848200000000006,97.3196,115.42359999999996,0.5658144482999894,115.4236s (~1.92 minutes)
19th to 15th,direction-0,4,10266,15th St,2021-01-01T15:20:00Z,18,62.019888888888886,10.733,72.75288888888889,7.104275,20.259901782146482,3.541001320663574,18.41515620955256,3.2279963262721454,7.19,14.478,14.478,55.637800000000006,96.9888,101.67394999999999,0.3975245732891858,101.67395s (~1.69 minutes)
19th to 15th,direction-0,4,10266,15th St,2021-01-01T15:30:00Z,21,57.338190476190476,8.498619047619048,65.83680952380952,4.885938095238095,20.76080525803141,2.1925901230323572,22.092362267578014,2.2036267955863558,5.793,10.026,13.665,33.497,83.454,90,0.36701642517248645,90s (~1.5 minutes)
19th to 15th,direction-0,4,10266,15th St,2021-01-01T15:40:00Z,19,61.717894736842105,10.707157894736842,72.42505263157895,7.096165789473684,36.836561722612764,3.6493735575538304,36.998976665238374,3.3595420519623667,7.705,13.348799999999997,15.743199999999991,41.0068,92.00959999999998,125.20369999999983,0.7287346774451386,125.2037s (~2.09 minutes)
19th to 15th,direction-0,4,10266,15th St,2021-01-01T15:50:00Z,21,59.87990476190476,11.87704761904762,71.75695238095238,8.232278571428571,23.06921305745985,4.358652090683432,22.237893837942902,4.032655633189234,7.641,15.145,15.145,55.626000000000005,91.239,93.73,0.3062148947239889,93.73s (~1.56 minutes)
19th to 15th,direction-0,4,10266,15th St,2021-01-01T16:00:00Z,12,50.86666666666667,6.486666666666666,57.35333333333333,3.1948666666666665,19.7291691265558,2.228153346009501,20.781331588857835,2.2281533460095004,4.0286,10.007000000000001,10.70355,32.291000000000004,85.2135,87.14814999999999,0.5194958154132278,87.14815s (~1.45 minutes)
19th to 15th,direction-0,4,10266,15th St,2021-01-01T16:10:00Z,18,61.32216666666667,9.538333333333334,70.8605,5.990747222222223,25.303772634902163,7.4220620251977385,23.095791967751335,7.3077359180181,3.5449,13.431,16.56014999999997,52.1088,87.53410000000001,99.62324999999993,0.40590667579257733,99.6232499999999s (~1.66 minutes)
19th to 15th,direction-0,4,10266,15th St,2021-01-01T16:20:00Z,24,60.736291666666666,11.044291666666666,71.78058333333334,7.44364375,22.712365192783473,4.781862112091687,21.398014387598774,4.466502977583647,5.846,14.925,18.22979999999999,47.732600000000005,92.87599999999999,95.50715,0.3305429625235235,95.50715s (~1.59 minutes)
19th to 15th,direction-0,4,10266,15th St,2021-01-01T16:30:00Z,23,61.76195652173913,13.401434782608696,75.16339130434783,9.81665652173913,34.84442311250795,3.5962287042512515,33.54344461730885,3.9100824842004283,9.652,16.2774,17.556599999999996,46.214,116.60340000000001,142.18769999999992,0.8917148033443653,142.1877s (~2.37 minutes)
19th to 15th,direction-0,4,10266,15th St,2021-01-01T16:40:00Z,24,66.350375,10.380666666666666,76.73104166666667,6.7238645833333335,24.454745231376297,6.916421647484854,22.587226679810538,6.742261575453989,6.643,11.442,14.572549999999993,51.2277,109.7507,111.48434999999999,0.4529237135122952,111.48435s (~1.86 minutes)
19th to 15th,direction-0,4,10266,15th St,2021-01-01T16:50:00Z,25,65.06832,12.747,77.81532,9.131752,29.68933599336076,5.016532285021863,29.84531918034496,4.937590292222513,8.797,13.901000000000003,15.541799999999997,48.927200000000006,104.75340000000003,110.407,0.41883372066066166,110.407s (~1.84 minutes)
19th to 15th,direction-0,4,10266,15th St,2021-01-01T17:00:00Z,9,63.312,10.378555555555556,73.69055555555555,7.0867555555555555,19.21693628027111,3.0196666666666667,20.932702740634753,3.0196666666666667,9.372,11.183799999999994,14.807399999999998,51.711800000000004,104.5188,106.3264,0.4428768951245074,106.3264s (~1.77 minutes)
19th to 15th,direction-0,4,10266,15th St,2021-01-01T17:10:00Z,20,67.2148,7.41825,74.63305,3.8232174999999997,31.788955146816573,1.7908418742091812,31.996534056502863,2.0049919083230208,6.091600000000001,8.345100000000002,9.843150000000003,42.868,127.5022,128.83470000000003,0.7262419263315654,128.8347s (~2.15 minutes)
19th to 15th,direction-0,4,10266,15th St,2021-01-01T17:20:00Z,12,73.29441666666666,11.016333333333334,84.31075,7.7245333333333335,40.160872399656796,17.000704789311925,41.84822029478565,17.000704789311925,4.0872,9.943499999999998,34.575349999999965,50.799800000000005,121.0741,156.58609999999993,0.8572495203755148,156.5861s (~2.61 minutes)
19th to 15th,direction-0,4,10266,15th St,2021-01-01T17:30:00Z,20,58.85815,6.96745,65.82560000000001,3.338725,23.579230799192306,2.848373468915383,24.244837059508264,2.707478417200267,5.2738000000000005,9.911400000000004,12.298750000000002,40.0364,99.0998,99.8478,0.5168536253372548,99.8478s (~1.66 minutes)
19th to 15th,direction-0,4,10266,15th St,2021-01-01T17:50:00Z,19,54.52410526315789,5.538578947368421,60.062684210526314,1.892121052631579,24.797064006080184,1.125231053595931,24.97702343277524,1.0526850512058028,5.214799999999999,5.511,5.919099999999991,31.4256,90.31299999999999,91.6522,0.5259424583614837,91.6522s (~1.53 minutes)
